"answer","audio","id","options__001","options__002","options__003","options__004","text"
"xuǎn jǔ","type2_013.mp3","q56","shuǎn zhǔ","xuěn zhǔ","xuǎn jǔ","shuǎn jǔ","选举"
"kūn chóng","type2_068.mp3","q57","kuēn qióng","kūn chung2","kuān chóng","kūn chóng","昆虫"
"zhāng kǒu","type2_005.mp3","q58","zhōng kǒu","zhāng kǒ","zhāng kuǒ","zhāng kǒu","张口"
"niǔ yuē","type2_028.mp3","q59","niù yué","niù yuè","niǔ yuè","niǔ yuē","纽约"
"juān kuǎn","type2_078.mp3","q60","juān kuǎn","juēn kuǎn","juān kǔn","juēn kuěn","捐款"
"qióng kùn","type2_056.mp3","q61","qióng kùn","chóng kùn","qiáng kuèn","chióng kuàn","穷困"
"yōu chóu","type2_062.mp3","q62","yū chóu","yōu chóu","yū qióu","yōu qiú","忧愁"
"chéng gōng","type2_034.mp3","q63","chúng gōng","chúng gūng","chéng gūng","chéng gōng","成功"
"shǔ jià","type2_035.mp3","q64","xǔ jià","xǔ jà","shǔ jià","shǔ jà","暑假"
"huò huǐ","type2_024.mp3","q65","huò huǎi","huò huǐ","hòu huǐ","hòu huěi","后悔"
"rì jì","type2_049.mp3","q66","rè jì","èr jì","yì jì","rì jì","日记"
"xǔ yuàn","type2_022.mp3","q67","xǔ yuàn","shǔ yuàn","xǔ yuèn","shǔ yuèn","许愿"
"qiū qiān","type2_060.mp3","q68","chiū chiān","chiū quān","qiū chīn","qiū qiān","秋千"
"céng cì","type2_052.mp3","q69","céng cì","cén cè","cún cì","cúng cè","层次"
"jū zhù","type2_064.mp3","q70","zhū jù","jū juè","zhū juè","jū zhù","居住"
"jiào xùn","type2_057.mp3","q71","jiào xùn","jiào shùn","zhào xùn","zhào shùn","教训"
"sāng shèn","type2_081.mp3","q72","sān chèn","sān shèn","sāng chèn","sāng shèn","桑椹"
"duō shǎo","type2_006.mp3","q73","dō shǎo","dōu shǎo","duō shǎo","dōu shǒu","多少"
"jié huēn","type2_058.mp3","q74","jié huān","jiào shùn","jié hūn","jié hwēn","结婚"
"chèn shān","type2_077.mp3","q75","chèn shān","chèn shēn","chàn shēn","chàn shān","衬衫"
"wán quán","type2_004.mp3","q76","wán chuán","wáng qún","wáng chún","wán quán","完全"
"gēn běn","type2_097.mp3","q77","gūn bǔn","gēn běn","gūn běn","gēn bǔn","根本"
"qiú duì","type2_018.mp3","q78","chiú duì","chiú diù","qiú duèi","qiú duì","球队"
"jiā jù","type2_072.mp3","q79","jā jiù","jā zhù","jiā zhù","jiā jù","家具"
"jiè shào","type2_010.mp3","q80","juè shào","jiè shào","jèi shào","jè shào","介绍"
"pò huài","type2_094.mp3","q81","pò huài","può huì","pòu huài","può huèi","破坏"
"jiān qiáng","type2_043.mp3","q82","jiēn cháng","jiān cháng","jiān qiáng","jiēn qiáng","坚强"
"ān wèi","type2_016.mp3","q83","āng wèi","ān wài","ān wèi","āng wèi","安慰"
"qí shí","type2_086.mp3","q84","qí shí","chí shí","qí shé","chí shé","其实"
"tūn yàn","type2_088.mp3","q85","tuān yèn","tūn yàn","tuēn yàn","tūn yèn","吞咽"
"huái yùn","type2_026.mp3","q86","huí yuàn","huí yuèn","huái yùn","huái yuèn","怀孕"
"chuán qí","type2_045.mp3","q87","chuán qí","chuán chí","quán qí","quán chí","传奇"
"fù wēng","type2_099.mp3","q88","fù wūng","fù wūn","fù wōng","fù wēng","富翁"
"rùn nián","type2_047.mp3","q89","rèn nián","ruèn nián","rùn nián","ruàn nián","闰年"
"lúnliú","type2_065.mp3","q90","lún liú","luén lió","luán lióu","lún lióu","轮流"
"tuán yuán","type2_059.mp3","q91","tuán yuén","tún yuén","tuán yuán","tuén yuén","团圆"
"qiàn zhài","type2_025.mp3","q92","chièn zhài","qièn jài","qiàn jài","qiàn zhài","欠债"
"yuē huì","type2_069.mp3","q93","yuē huài","wuē huì","yuē huì","wuē huèi","约会"
"zǐ xì","type2_054.mp3","q94","zě shì","zǐ shì","zǐ xì","zě xì","仔细"
"qún zhòng","type2_023.mp3","q95","chún zhòng","qún zhòng","chún zhùng","quén zhòng","群众"
"xué xí","type2_050.mp3","q96","shué shí","shuí xí","xué xí","xué shí","学习"
"chū qù","type2_031.mp3","q97","chū qù","qū chù","chū chuè","chū què","出去"
"lǒu bào","type2_098.mp3","q98","lòu bào","lǒu bào","lòu báo","lòu bào","搂抱"
"guān guāng","type2_082.mp3","q99","guān'guāng","guāng guāng","guān guān","guān guāng","观光"
